"MacroTrends Data Download"
"MA - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
2006-05-25,4.03,4.72,4.02,4.6,395343000
2006-05-26,4.631,4.674,4.411,4.493,103044000
2006-05-30,4.497,4.498,4.285,4.4,49898000
2006-05-31,4.435,4.536,4.435,4.494,30002000
2006-06-01,4.493,4.81,4.49,4.751,62344000
2006-06-02,4.751,4.87,4.679,4.699,37253000
2006-06-05,4.705,4.975,4.7,4.915,37188000
2006-06-06,4.961,5.063,4.78,4.83,49045000
2006-06-07,4.833,4.84,4.675,4.76,25013000
2006-06-08,4.725,4.772,4.55,4.772,34439000
2006-06-09,4.88,4.88,4.768,4.791,13372000
2006-06-12,4.794,4.825,4.63,4.695,14546000
2006-06-13,4.675,4.735,4.53,4.55,16716000
2006-06-14,4.527,4.545,4.444,4.512,15971000
2006-06-15,4.54,4.612,4.513,4.595,16500000
2006-06-16,4.595,4.6,4.5,4.502,12280000
2006-06-19,4.505,4.545,4.41,4.434,11509000
2006-06-20,4.474,4.5,4.347,4.402,23792000
2006-06-21,4.402,4.625,4.4,4.53,18063000
2006-06-22,4.64,4.7,4.588,4.66,13038000
2006-06-23,4.7,4.793,4.687,4.695,11612000
2006-06-26,4.7,4.75,4.643,4.75,8565000
2006-06-27,4.75,4.803,4.725,4.731,9826000
2006-06-28,4.685,4.74,4.65,4.696,8756000
2006-06-29,4.695,4.809,4.695,4.8,14470000
2006-06-30,4.765,4.8,4.66,4.8,25964000
2006-07-03,4.79,4.8,4.681,4.73,7029000
2006-07-05,4.74,4.784,4.671,4.76,13266000
2006-07-06,4.7,4.735,4.679,4.68,8097000
2006-07-07,4.675,4.685,4.575,4.612,8380000
2006-07-10,4.62,4.657,4.612,4.649,4978000
2006-07-11,4.649,4.649,4.53,4.635,8079000
2006-07-12,4.64,4.64,4.554,4.555,7672000
2006-07-13,4.518,4.518,4.43,4.472,16625000
2006-07-14,4.462,4.468,4.39,4.395,9663000
2006-07-17,4.41,4.417,4.375,4.399,6458000
2006-07-18,4.399,4.41,4.367,4.39,12483000
2006-07-19,4.391,4.545,4.38,4.528,15840000
2006-07-20,4.54,4.578,4.51,4.555,8829000
2006-07-21,4.555,4.555,4.477,4.528,8510000
2006-07-24,4.545,4.553,4.499,4.5,5017000
2006-07-25,4.52,4.64,4.516,4.608,6900000
2006-07-26,4.614,4.785,4.58,4.668,10338000
2006-07-27,4.69,4.717,4.652,4.652,6009000
2006-07-28,4.651,4.68,4.626,4.63,4339000
2006-07-31,4.63,4.641,4.586,4.587,4616000
2006-08-01,4.592,4.592,4.47,4.5,7390000
2006-08-02,4.8,5.005,4.731,5.002,53372000
2006-08-03,4.913,5.024,4.865,4.999,21689000
2006-08-04,5.03,5.15,4.999,5.005,14216000
2006-08-07,5.025,5.13,5.025,5.11,6918000
2006-08-08,5.11,5.267,5.105,5.257,14073000
2006-08-09,5.3,5.45,5.2,5.285,15043000
2006-08-10,5.22,5.391,5.21,5.356,8725000
2006-08-11,5.35,5.445,5.325,5.368,9078000
2006-08-14,5.375,5.454,5.352,5.423,6314000
2006-08-15,5.47,5.493,5.426,5.449,8553000
2006-08-16,5.465,5.543,5.416,5.427,15344000
2006-08-17,5.42,5.424,5.319,5.346,10216000
2006-08-18,5.31,5.365,5.246,5.345,9343000
2006-08-21,5.33,5.555,5.28,5.426,12487000
2006-08-22,5.42,5.55,5.42,5.523,9761000
2006-08-23,5.548,5.575,5.4542,5.46,10439000
2006-08-24,5.49,5.585,5.482,5.565,5420000
2006-08-25,5.575,5.5853,5.493,5.5,8016000
2006-08-28,5.485,5.545,5.4766,5.502,3748000
2006-08-29,5.525,5.565,5.516,5.535,3211000
2006-08-30,5.548,5.5776,5.517,5.525,5801000
2006-08-31,5.525,5.617,5.525,5.59,7023000
2006-09-01,5.597,5.75,5.597,5.655,20559000
2006-09-05,5.69,5.724,5.625,5.685,4618000
2006-09-06,5.69,5.888,5.657,5.888,15694000
2006-09-07,5.851,6.087,5.85,6.012,26549000
2006-09-08,6.1,6.125,5.929,5.975,15176000
2006-09-11,5.975,6.199,5.96,6.187,17064000
2006-09-12,6.099,6.215,6.099,6.21,16992000
2006-09-13,6.2,6.23,6.09,6.135,12355000
2006-09-14,6.085,6.325,6.07,6.279,13010000
2006-09-15,6.279,6.52,6.279,6.497,19314000
2006-09-18,6.574,6.755,6.43,6.512,23656000
2006-09-19,6.5,6.615,6.43,6.484,17263000
2006-09-20,6.51,6.67,6.45,6.655,13476000
2006-09-21,6.753,6.96,6.701,6.905,29063000
2006-09-22,6.9,6.95,6.508,6.593,29874000
2006-09-25,6.525,6.57,6.22,6.44,35677000
2006-09-26,6.34,6.733,6.276,6.6,39969000
2006-09-27,6.6999,6.79,6.545,6.784,19633000
2006-09-28,6.765,6.891,6.765,6.865,13395000
2006-09-29,6.865,7.045,6.756,7.035,20056000
2006-10-02,7.035,7.035,6.9657,6.996,17393000
2006-10-03,6.84,7.09,6.84,6.968,16733000
2006-10-04,7,7.041,6.875,6.953,13679000
2006-10-05,6.978,7.29,6.901,7.259,25756000
2006-10-06,7.24,7.585,7.201,7.515,35410000
2006-10-09,7.225,7.323,7.0951,7.28,37084000
2006-10-10,7.115,7.325,7.05,7.191,26764000
2006-10-11,7.095,7.1,6.828,6.95,35483000
2006-10-12,6.91,7.082,6.872,7.041,15117000
2006-10-13,7.1,7.17,6.982,7.009,11321000
2006-10-16,7,7.171,6.985,7.13,8802000
2006-10-17,7.11,7.12,6.927,6.95,9865000
2006-10-18,6.961,7.118,6.954,7.045,8562000
2006-10-19,7.045,7.29,6.975,7.233,13414000
2006-10-20,7.28,7.285,7.1,7.122,5264000
2006-10-23,7.135,7.162,6.9801,7.025,7389000
2006-10-24,7.015,7.15,6.992,7.12,8512000
2006-10-25,7.125,7.125,7.05,7.075,11349000
2006-10-26,7.085,7.4,6.989,7.22,21152000
2006-10-27,7.1,7.3,6.9,7.264,26741000
2006-10-30,7.262,7.36,7.175,7.254,17471000
2006-10-31,7.228,7.625,7.194,7.41,35930000
2006-11-01,8.216,8.75,8.175,8.507,141283000
2006-11-02,8.31,8.808,8.25,8.76,62536000
2006-11-03,8.766,8.975,8.677,8.951,42476000
2006-11-06,9,9.714,8.999,9.63,97749000
2006-11-07,9.56,9.617,9.24,9.25,71623000
2006-11-08,9.15,9.2,8.805,8.844,64172000
2006-11-09,9.11,9.235,8.82,8.82,62982000
2006-11-10,8.864,9.05,8.776,8.92,27782000
2006-11-13,9.394,9.799,9.329,9.655,114166000
2006-11-14,9.68,9.724,9.439,9.52,38524000
2006-11-15,9.521,9.965,9.5,9.53,56606000
2006-11-16,9.6,9.72,9.39,9.452,35647000
2006-11-17,9.335,9.538,9.206,9.479,28516000
2006-11-20,9.398,9.621,9.372,9.619,22904000
2006-11-21,9.7,10.083,9.65,10.06,59494000
2006-11-22,10.175,10.393,10.082,10.326,42648000
2006-11-24,10.19,10.585,10.05,10.548,21600000
2006-11-27,10.6,10.86,9.899,9.899,73643000
2006-11-28,9.75,10.1,9.55,10.075,61511000
2006-11-29,10.238,10.268,9.685,9.92,48996000
2006-11-30,9.927,10.202,9.652,10.175,41254000
2006-12-01,10.222,10.245,9.909,10.117,35210000
2006-12-04,10.1,10.149,9.925,10.008,20276000
2006-12-05,9.975,10.225,9.9,9.925,21264000
2006-12-06,10.119,10.2,9.85,9.913,30071000
2006-12-07,9.93,10.093,9.862,9.968,21763000
2006-12-08,9.968,10.08,9.893,10.01,15976000
